Time,Carbon dioxide [ppm],Temperature [C],VOCs [ppm],Humidity [%],Dust [ug/m3],Ozone [ppm],Water Tank Level [%]
11:00 AM,695,29,227,43,50,0.030715979,100
11:05 AM,711,15,764,48,123,0.003233014,99.3
11:10 AM,661,39,719,13,18,0.022024581,99.1
11:15 AM,547,38,596,14,5,0.03235642,98.7
11:20 AM,714,19,652,4,192,0.022462938,98.25
11:25 AM,807,33,959,56,178,0.039965158,97.84
11:30 AM,435,37,624,54,125,0.013450038,97.43
11:35 AM,779,31,236,7,100,0.023997379,97.02
11:40 AM,492,31,923,63,176,0.003412491,96.61
11:45 AM,619,18,493,2,189,0.02950995,96.2
11:50 AM,497,33,513,29,39,0.043147111,95.79
11:55 AM,318,30,546,87,139,0.027864908,95.38
12:00 PM,348,40,696,12,175,0.043755097,94.97
12:05 PM,568,39,871,14,111,0.032095033,94.56
12:10 PM,535,20,351,7,149,0.017277297,94.15
12:15 PM,394,30,211,89,11,0.042116524,93.74
12:20 PM,732,29,509,47,150,0.042608872,93.33
12:25 PM,586,27,604,97,4,0.030887755,92.92
12:30 PM,546,36,794,97,89,0.002821121,92.51
12:35 PM,449,30,296,65,46,0.025605385,92.1
12:40 PM,390,19,938,68,121,0.038517362,91.69
12:45 PM,394,21,658,59,18,0.022091016,91.28
12:50 PM,880,26,931,88,70,0.01045799,90.87
12:55 PM,339,17,825,22,143,0.026795841,90.46
1:00 PM,463,22,903,17,117,0.039056707,90.05
1:05 PM,315,28,451,41,88,0.036093532,89.64
1:10 PM,520,36,878,55,58,0.013355234,89.23
1:15 PM,539,29,808,71,73,0.000100492,88.82
1:20 PM,439,18,997,48,0,0.031290563,88.41
1:25 PM,632,15,750,86,94,0.007167608,88
1:30 PM,678,18,983,98,101,0.026418231,87.59
1:35 PM,316,29,202,80,104,0.021143913,87.18
1:40 PM,411,17,462,30,107,0.032495936,86.77
1:45 PM,661,26,428,95,143,0.010802008,86.36
1:50 PM,658,33,300,84,148,0.015108625,85.95
1:55 PM,483,27,545,86,126,0.003520363,85.54
2:00 PM,552,18,638,97,16,0.049743074,85.13
2:05 PM,405,36,881,49,135,0.0224928,84.72
2:10 PM,371,38,281,96,28,0.025953925,84.31
2:15 PM,886,34,654,41,142,0.032466964,83.9
2:20 PM,874,34,966,8,175,0.046703688,83.49
2:25 PM,679,17,935,46,159,0.001176331,83.08
2:30 PM,623,16,643,35,82,0.036495758,82.67
2:35 PM,526,34,968,64,144,0.013418535,82.26
2:40 PM,604,25,862,84,18,0.009193295,81.85
2:45 PM,674,19,783,36,39,0.048012877,81.44
2:50 PM,334,18,780,60,181,0.004204376,81.03
2:55 PM,750,20,412,40,103,0.009268747,80.62
3:00 PM,720,30,731,82,198,0.028349116,80.21
3:05 PM,393,20,250,17,11,0.021613032,79.8
3:10 PM,800,37,962,2,68,0.046012681,79.39
3:15 PM,775,19,436,0,29,0.036175274,78.98
3:20 PM,610,37,228,60,36,0.041197225,78.57
3:25 PM,697,40,276,67,65,0.01214353,78.16
3:30 PM,820,29,245,82,119,0.029603001,77.75
3:35 PM,412,24,340,16,33,0.028779917,77.34
3:40 PM,835,32,359,10,103,0.034326344,76.93
3:45 PM,741,30,300,82,124,0.017135096,76.52
3:50 PM,609,19,769,64,185,0.044793711,76.11
3:55 PM,723,17,637,73,126,0.035570677,75.7
4:00 PM,738,32,818,27,72,0.029271327,75.29
4:05 PM,313,26,473,77,146,0.045748616,74.88
4:10 PM,404,40,979,73,79,0.030579301,74.47
4:15 PM,732,16,271,51,109,0.020727402,74.06
4:20 PM,343,28,650,84,64,0.007432374,73.65
4:25 PM,677,37,235,1,40,0.020670508,73.24
4:30 PM,499,32,937,64,167,0.030685358,72.83
4:35 PM,791,30,308,68,46,0.000224589,72.42
4:40 PM,840,17,437,56,191,0.044551104,72.01
4:45 PM,866,33,391,44,191,0.020350976,71.6
4:50 PM,405,19,636,85,34,0.015495241,71.19
4:55 PM,649,20,561,66,88,0.00612125,70.78
5:00 PM,608,38,481,73,80,0.004414466,70.37
5:05 PM,517,27,456,87,183,0.033203863,69.96
5:10 PM,697,39,669,72,171,0.03779372,69.55
